"Biome","Timeslice_younger","Timeslice_older","EMD"
"TRFO",0,0.5,0.27504688501358
"TRFO",0.5,1,0.245324954390526
"TRFO",1,1.5,0.243674129247665
"TRFO",1.5,2,0.224724978208542
"TRFO",2,2.5,0.240897253155708
"TRFO",2.5,3,0.248767405748367
"TRFO",3,3.5,0.250646434724331
"TRFO",3.5,4,0.254182763397694
"TRFO",4,4.5,0.240710511803627
"TRFO",4.5,5,0.237524196505547
"TRFO",5,5.5,0.294897526502609
"TRFO",5.5,6,0.219961330294609
"TRFO",6,6.5,0.2523373067379
"TRFO",6.5,7,0.260081171989441
"TRFO",7,7.5,0.252693191170692
"TRFO",7.5,8,0.258486092090607
"TRFO",8,8.5,0.212668664753437
"TRFO",8.5,9,0.213918283581734
"TRFO",9,9.5,0.308927208185196
"TRFO",9.5,10,0.255222380161286
"TRFO",10,10.5,0.197823479771614
"TRFO",10.5,11,0.202090159058571
"TRFO",11,11.5,0.312064692378044
"TRFO",11.5,12,0.290893092751503
"TRFO",12,12.5,0.249446019530296
"TRFO",12.5,13,0.313147142529487
"TRFO",13,13.5,0.272443413734436
"TRFO",13.5,14,0.284907400608063
"TRFO",14,14.5,0.225942745804787
"TRFO",14.5,15,0.291363880038262
"TRFO",15,15.5,0.223357878625392
"TRFO",15.5,16,0.286534637212753
"TRFO",16,16.5,0.232987388968468
"TRFO",16.5,17,0.245915003120899
"TRFO",17,17.5,0.242094486951828
"TRFO",17.5,18,0.19954688847065
"TRFO",18,18.5,0.231923460960388
"TRFO",18.5,19,0.226442039012909
"TRFO",19,19.5,0.222075626254082
"TRFO",19.5,20,0.195613354444504
"TRFO",20,20.5,0.20028942078352
"TRFO",20.5,21,0.146704975515604
"WTFO",0,0.5,0.269642919301986
"WTFO",0.5,1,0.233071945607662
"WTFO",1,1.5,0.204632677137851
"WTFO",1.5,2,0.195155642926693
"WTFO",2,2.5,0.210145324468613
"WTFO",2.5,3,0.221126884222031
"WTFO",3,3.5,0.196253217756748
"WTFO",3.5,4,0.201205998659134
"WTFO",4,4.5,0.203973382711411
"WTFO",4.5,5,0.171282112598419
"WTFO",5,5.5,0.217706143856049
"WTFO",5.5,6,0.196907997131347
"WTFO",6,6.5,0.211640208959579
"WTFO",6.5,7,0.206720679998398
"WTFO",7,7.5,0.210978850722313
"WTFO",7.5,8,0.200370162725449
"WTFO",8,8.5,0.211100623011589
"WTFO",8.5,9,0.174403220415115
"WTFO",9,9.5,0.198504015803337
"WTFO",9.5,10,0.205265082418918
"WTFO",10,10.5,0.198107831180096
"WTFO",10.5,11,0.213955461978912
"WTFO",11,11.5,0.190335318446159
"WTFO",11.5,12,0.173423781991005
"WTFO",12,12.5,0.152586430311203
"WTFO",12.5,13,0.190696060657501
"WTFO",13,13.5,0.263035863637924
"WTFO",13.5,14,0.151275426149369
"WTFO",14,14.5,0.171395257115364
"WTFO",14.5,15,0.194199830293655
"WTFO",15,15.5,0.209458768367767
"WTFO",15.5,16,0.181054346263409
"WTFO",16,16.5,0.155968531966209
"WTFO",16.5,17,0.145728632807732
"WTFO",17,17.5,0.194600075483322
"WTFO",17.5,18,0.141351591795683
"WTFO",18,18.5,0.16828316450119
"WTFO",18.5,19,0.237336806952954
"WTFO",19,19.5,0.187581226229668
"WTFO",19.5,20,0.222255259752274
"WTFO",20,20.5,0.155639141798019
"WTFO",20.5,21,0.159281529486179
"TEFO",0,0.5,0.284594088792801
"TEFO",0.5,1,0.227793112397194
"TEFO",1,1.5,0.210101425647736
"TEFO",1.5,2,0.195107564330101
"TEFO",2,2.5,0.193021431565285
"TEFO",2.5,3,0.192167997360229
"TEFO",3,3.5,0.178102985024452
"TEFO",3.5,4,0.183325938880444
"TEFO",4,4.5,0.17541415989399
"TEFO",4.5,5,0.177755087614059
"TEFO",5,5.5,0.188808009028435
"TEFO",5.5,6,0.179428681731224
"TEFO",6,6.5,0.174195036292076
"TEFO",6.5,7,0.17114482074976
"TEFO",7,7.5,0.179733864963054
"TEFO",7.5,8,0.184274047613144
"TEFO",8,8.5,0.183795496821404
"TEFO",8.5,9,0.181151196360588
"TEFO",9,9.5,0.179087892174721
"TEFO",9.5,10,0.186613813042641
"TEFO",10,10.5,0.204591669142246
"TEFO",10.5,11,0.225613847374916
"TEFO",11,11.5,0.239437527954579
"TEFO",11.5,12,0.243952319025994
"TEFO",12,12.5,0.228194780647755
"TEFO",12.5,13,0.248761788010597
"TEFO",13,13.5,0.221185714006424
"TEFO",13.5,14,0.236105173826218
"TEFO",14,14.5,0.225534126162529
"TEFO",14.5,15,0.22792961448431
"TEFO",15,15.5,0.206013843417168
"TEFO",15.5,16,0.198195725679398
"TEFO",16,16.5,0.192920222878456
"TEFO",16.5,17,0.178212031722069
"TEFO",17,17.5,0.196348905563354
"TEFO",17.5,18,0.179557867348194
"TEFO",18,18.5,0.186368614435196
"TEFO",18.5,19,0.190719082951546
"TEFO",19,19.5,0.211042568087578
"TEFO",19.5,20,0.159209676086903
"TEFO",20,20.5,0.151603735983372
"TEFO",20.5,21,0.156103931367397
"BOFO",0,0.5,0.158372446894646
"BOFO",0.5,1,0.132496446371078
"BOFO",1,1.5,0.128829389810562
"BOFO",1.5,2,0.122494291514158
"BOFO",2,2.5,0.129522435367107
"BOFO",2.5,3,0.127088390290737
"BOFO",3,3.5,0.124393906444311
"BOFO",3.5,4,0.125367969274521
"BOFO",4,4.5,0.128304146230221
"BOFO",4.5,5,0.125717490911484
"BOFO",5,5.5,0.125381737947464
"BOFO",5.5,6,0.124157313257456
"BOFO",6,6.5,0.126022174954415
"BOFO",6.5,7,0.143417939543724
"BOFO",7,7.5,0.13779054582119
"BOFO",7.5,8,0.147135272622108
"BOFO",8,8.5,0.149737417697906
"BOFO",8.5,9,0.149825692176819
"BOFO",9,9.5,0.160050973296165
"BOFO",9.5,10,0.168913066387177
"BOFO",10,10.5,0.166875451803207
"BOFO",10.5,11,0.173455998301506
"BOFO",11,11.5,0.186058610677719
"BOFO",11.5,12,0.187334157526493
"BOFO",12,12.5,0.180820301175117
"BOFO",12.5,13,0.17463655769825
"BOFO",13,13.5,0.195877626538277
"BOFO",13.5,14,0.17716147005558
"BOFO",14,14.5,0.160559363663197
"BOFO",14.5,15,0.185201033949852
"BOFO",15,15.5,0.174982741475106
"BOFO",15.5,16,0.163735941052437
"BOFO",16,16.5,0.162502393126488
"BOFO",16.5,17,0.181869968771935
"BOFO",17,17.5,0.190416477620601
"BOFO",17.5,18,0.15235248208046
"BOFO",18,18.5,0.162876151502132
"BOFO",18.5,19,0.123762737959624
"BOFO",19,19.5,0.153966650366784
"BOFO",19.5,20,0.141892805695534
"BOFO",20,20.5,0.174212068319321
"BOFO",20.5,21,0.148559845983982
"SAVA",0,0.5,0.307421177625656
"SAVA",0.5,1,0.268905311822891
"SAVA",1,1.5,0.165632009506226
"SAVA",1.5,2,0.227574527263641
"SAVA",2,2.5,0.176326259970665
"SAVA",2.5,3,0.167538501322269
"SAVA",3,3.5,0.208258152008057
"SAVA",3.5,4,0.150882102549076
"SAVA",4,4.5,0.143839918076992
"SAVA",4.5,5,0.171020954847335
"SAVA",5,5.5,0.151988819241524
"SAVA",5.5,6,0.15835777670145
"SAVA",6,6.5,0.154829025268555
"SAVA",6.5,7,0.168338462710381
"SAVA",7,7.5,0.179945826530457
"SAVA",7.5,8,0.204621598124504
"SAVA",8,8.5,0.173082977533341
"SAVA",8.5,9,0.170526891946792
"SAVA",9,9.5,0.153744235634804
"SAVA",9.5,10,0.207778200507164
"SAVA",10,10.5,0.163917146623135
"SAVA",10.5,11,0.210363551974297
"SAVA",11,11.5,0.161153167486191
"SAVA",11.5,12,0.175487041473389
"SAVA",12,12.5,0.149987474083901
"SAVA",12.5,13,0.164892181754112
"SAVA",13,13.5,0.148696929216385
"SAVA",13.5,14,0.186916381120682
"SAVA",14,14.5,0.139315858483315
"SAVA",14.5,15,0.114678472280502
"SAVA",15,15.5,0.133879125118256
"SAVA",15.5,16,0.114687688648701
"SAVA",16,16.5,0.133506834506989
"SAVA",16.5,17,0.137388646602631
"SAVA",17,17.5,0.111365359276533
"SAVA",17.5,18,0.116700455546379
"SAVA",18,18.5,0.169741362333298
"SAVA",18.5,19,0.180485047399998
"SAVA",19,19.5,0.148924678564071
"SAVA",19.5,20,0.159309897571803
"SAVA",20,20.5,0.170459046959877
"SAVA",20.5,21,0.156763326376677
"STEP",0,0.5,0.269767761230469
"STEP",0.5,1,0.202077820897102
"STEP",1,1.5,0.210256434977054
"STEP",1.5,2,0.179194994270801
"STEP",2,2.5,0.196757666766643
"STEP",2.5,3,0.194086566567421
"STEP",3,3.5,0.204084195196629
"STEP",3.5,4,0.209269247949123
"STEP",4,4.5,0.197588011622429
"STEP",4.5,5,0.189652167260647
"STEP",5,5.5,0.189529396593571
"STEP",5.5,6,0.178399950265884
"STEP",6,6.5,0.173263125121594
"STEP",6.5,7,0.173500001430511
"STEP",7,7.5,0.200428515672684
"STEP",7.5,8,0.172062680125237
"STEP",8,8.5,0.189317725598812
"STEP",8.5,9,0.174806922674179
"STEP",9,9.5,0.19966995716095
"STEP",9.5,10,0.185257568955421
"STEP",10,10.5,0.186444714665413
"STEP",10.5,11,0.181520074605942
"STEP",11,11.5,0.227160587906837
"STEP",11.5,12,0.223253682255745
"STEP",12,12.5,0.255305275321007
"STEP",12.5,13,0.244211226701736
"STEP",13,13.5,0.213178679347038
"STEP",13.5,14,0.182029947638512
"STEP",14,14.5,0.19138690084219
"STEP",14.5,15,0.175388850271702
"STEP",15,15.5,0.19617260247469
"STEP",15.5,16,0.27437499165535
"STEP",16,16.5,0.226257607340813
"STEP",16.5,17,0.182475328445435
"STEP",17,17.5,0.270334914326667
"STEP",17.5,18,0.179509446024895
"STEP",18,18.5,0.266999989748001
"STEP",18.5,19,0.281526029109955
"STEP",19,19.5,0.216565571725368
"STEP",19.5,20,0.239178448915482
"STEP",20,20.5,0.213608980178833
"STEP",20.5,21,0.247146554291248
"DESE",0,0.5,0.274870276451111
"DESE",0.5,1,0.330015778541565
"DESE",1,1.5,0.195383682847023
"DESE",1.5,2,0.187356568872929
"DESE",2,2.5,0.181381210684776
"DESE",2.5,3,0.194804072380066
"DESE",3,3.5,0.194329917430878
"DESE",3.5,4,0.195043101906776
"DESE",4,4.5,0.166620932519436
"DESE",4.5,5,0.205918490886688
"DESE",5,5.5,0.196330703794957
"DESE",5.5,6,0.206467047333717
"DESE",6,6.5,0.200501337647438
"DESE",6.5,7,0.246424645185471
"DESE",7,7.5,0.229130759835244
"DESE",7.5,8,0.148404344916343
"DESE",8,8.5,0.308326616883278
"DESE",8.5,9,0.212750390172005
"DESE",9,9.5,0.181764550507068
"DESE",9.5,10,0.170894742012024
"DESE",10,10.5,0.208318680524826
"DESE",10.5,11,0.157000780105591
"DESE",11,11.5,0.187040030956269
"DESE",11.5,12,0.20507013052702
"DESE",12,12.5,0.209054380655289
"DESE",12.5,13,0.255192875862121
"DESE",13,13.5,0.256242871284485
"DESE",13.5,14,0.292100012302399
"DESE",14,14.5,0.256218373775482
"DESE",14.5,15,0.175580874085426
"DESE",15,15.5,0.170396767556667
"DESE",15.5,16,0.420736864209175
"DESE",16,16.5,0.200726494193077
"DESE",16.5,17,0.33628311753273
"DESE",17,17.5,0.294231921434402
"DESE",17.5,18,0.297067351639271
"DESE",18,18.5,0.196253538131714
"DESE",18.5,19,0.432926580309868
"DESE",19,19.5,0.333808600902557
"DESE",19.5,20,0.265847831964493
"DESE",20,20.5,NA
"DESE",20.5,21,NA
"TUND",0,0.5,0.15888848900795
"TUND",0.5,1,0.146057143807411
"TUND",1,1.5,0.14946873486042
"TUND",1.5,2,0.13550865650177
"TUND",2,2.5,0.135143220424652
"TUND",2.5,3,0.146727874875069
"TUND",3,3.5,0.135802447795868
"TUND",3.5,4,0.152639210224152
"TUND",4,4.5,0.153437778353691
"TUND",4.5,5,0.154592603445053
"TUND",5,5.5,0.140310049057007
"TUND",5.5,6,0.143716394901275
"TUND",6,6.5,0.161754474043846
"TUND",6.5,7,0.144030421972275
"TUND",7,7.5,0.148936316370964
"TUND",7.5,8,0.151419669389725
"TUND",8,8.5,0.15651635825634
"TUND",8.5,9,0.145587310194969
"TUND",9,9.5,0.159105807542801
"TUND",9.5,10,0.177002012729645
"TUND",10,10.5,0.163653418421745
"TUND",10.5,11,0.151742845773697
"TUND",11,11.5,0.17111711204052
"TUND",11.5,12,0.186908446252346
"TUND",12,12.5,0.174241468310356
"TUND",12.5,13,0.170418255031108
"TUND",13,13.5,0.164895571768284
"TUND",13.5,14,0.2061787545681
"TUND",14,14.5,0.253306686878204
"TUND",14.5,15,0.263706356287002
"TUND",15,15.5,0.188591569662094
"TUND",15.5,16,0.231184586882591
"TUND",16,16.5,0.177476331591607
"TUND",16.5,17,0.224139481782913
"TUND",17,17.5,0.199160277843476
"TUND",17.5,18,0.257357724010944
"TUND",18,18.5,0.153160765767097
"TUND",18.5,19,0.216245517134666
"TUND",19,19.5,0.281025722622872
"TUND",19.5,20,0.228514060378075
"TUND",20,20.5,0.203596621751785
"TUND",20.5,21,0.247892886400223
"NH",0,0.5,0.238955178416398
"NH",0.5,1,0.208938280522662
"NH",1,1.5,0.183299425288342
"NH",1.5,2,0.172700532605326
"NH",2,2.5,0.174655805693517
"NH",2.5,3,0.176583764220985
"NH",3,3.5,0.17557821788289
"NH",3.5,4,0.176731182930813
"NH",4,4.5,0.168890979454979
"NH",4.5,5,0.173083924132396
"NH",5,5.5,0.176805305956655
"NH",5.5,6,0.168296152209418
"NH",6,6.5,0.170481982556235
"NH",6.5,7,0.178713543214446
"NH",7,7.5,0.182648008471369
"NH",7.5,8,0.173126876273846
"NH",8,8.5,0.191058333352564
"NH",8.5,9,0.174706669144496
"NH",9,9.5,0.185525834631676
"NH",9.5,10,0.186353595999978
"NH",10,10.5,0.185851421168374
"NH",10.5,11,0.186929472871203
"NH",11,11.5,0.211830694706429
"NH",11.5,12,0.21519857883535
"NH",12,12.5,0.209943265130633
"NH",12.5,13,0.222644094537534
"NH",13,13.5,0.212569276540694
"NH",13.5,14,0.216322731877498
"NH",14,14.5,0.205597102561901
"NH",14.5,15,0.204417095037966
"NH",15,15.5,0.188275256347793
"NH",15.5,16,0.23567420422055
"NH",16,16.5,0.190186531988812
"NH",16.5,17,0.206074720339161
"NH",17,17.5,0.218546964219628
"NH",17.5,18,0.193126961131735
"NH",18,18.5,0.195059394274337
"NH",18.5,19,0.226120962641361
"NH",19,19.5,0.218167354373102
"NH",19.5,20,0.193400300240138
"NH",20,20.5,0.160051738149139
"NH",20.5,21,0.160923920084271
