"Biome","Timeslice_younger","Timeslice_older","Reconstruction","Simulation"
"TRFO",0,0.5,0.183673469387755,0.0204081632653061
"TRFO",0.5,1,0.211538461538462,0.0384615384615385
"TRFO",1,1.5,0.224489795918367,0
"TRFO",1.5,2,0.132075471698113,0
"TRFO",2,2.5,0.140350877192982,0
"TRFO",2.5,3,0.218181818181818,0
"TRFO",3,3.5,0.166666666666667,0
"TRFO",3.5,4,0.153846153846154,0.0384615384615385
"TRFO",4,4.5,0.195652173913043,0.0217391304347826
"TRFO",4.5,5,0.111111111111111,0.0444444444444444
"TRFO",5,5.5,0.0681818181818182,0.0454545454545455
"TRFO",5.5,6,0.135135135135135,0.027027027027027
"TRFO",6,6.5,0.162162162162162,0.027027027027027
"TRFO",6.5,7,0.176470588235294,0.0588235294117647
"TRFO",7,7.5,0.147058823529412,0
"TRFO",7.5,8,0.151515151515152,0.121212121212121
"TRFO",8,8.5,0.166666666666667,0.0666666666666667
"TRFO",8.5,9,0.290322580645161,0.0645161290322581
"TRFO",9,9.5,0.125,0.0416666666666667
"TRFO",9.5,10,0.181818181818182,0.0454545454545455
"TRFO",10,10.5,0.210526315789474,0.157894736842105
"TRFO",10.5,11,0.105263157894737,0.0526315789473684
"TRFO",11,11.5,0.222222222222222,0.111111111111111
"TRFO",11.5,12,0.0625,0.1875
"TRFO",12,12.5,0.352941176470588,0.235294117647059
"TRFO",12.5,13,0.3,0.3
"TRFO",13,13.5,0.105263157894737,0.473684210526316
"TRFO",13.5,14,0.166666666666667,0.0555555555555556
"TRFO",14,14.5,0.157894736842105,0.315789473684211
"TRFO",14.5,15,0.111111111111111,0.111111111111111
"TRFO",15,15.5,0.0714285714285714,0.142857142857143
"TRFO",15.5,16,0,0.0666666666666667
"TRFO",16,16.5,0.230769230769231,0
"TRFO",16.5,17,0.142857142857143,0
"TRFO",17,17.5,0.266666666666667,0.0666666666666667
"TRFO",17.5,18,0.0769230769230769,0
"TRFO",18,18.5,0.333333333333333,0
"TRFO",18.5,19,0.181818181818182,0
"TRFO",19,19.5,0.0909090909090909,0
"TRFO",19.5,20,0.1,0
"TRFO",20,20.5,0.166666666666667,0
"TRFO",20.5,21,0,0.1
"WTFO",0,0.5,0.210526315789474,0.0263157894736842
"WTFO",0.5,1,0.173913043478261,0.0652173913043478
"WTFO",1,1.5,0.1875,0.0208333333333333
"WTFO",1.5,2,0.14,0
"WTFO",2,2.5,0.235294117647059,0.0784313725490196
"WTFO",2.5,3,0.176470588235294,0.0784313725490196
"WTFO",3,3.5,0.145833333333333,0
"WTFO",3.5,4,0.0952380952380952,0.0476190476190476
"WTFO",4,4.5,0.219512195121951,0.0487804878048781
"WTFO",4.5,5,0.133333333333333,0.111111111111111
"WTFO",5,5.5,0.1,0.05
"WTFO",5.5,6,0.176470588235294,0
"WTFO",6,6.5,0.114285714285714,0
"WTFO",6.5,7,0.151515151515152,0.0303030303030303
"WTFO",7,7.5,0.151515151515152,0.0303030303030303
"WTFO",7.5,8,0.214285714285714,0.0714285714285714
"WTFO",8,8.5,0.230769230769231,0.0769230769230769
"WTFO",8.5,9,0.2,0.04
"WTFO",9,9.5,0.285714285714286,0.142857142857143
"WTFO",9.5,10,0.277777777777778,0.0555555555555556
"WTFO",10,10.5,0.357142857142857,0
"WTFO",10.5,11,0.2,0
"WTFO",11,11.5,0.153846153846154,0.153846153846154
"WTFO",11.5,12,0.153846153846154,0.307692307692308
"WTFO",12,12.5,0.181818181818182,0.0909090909090909
"WTFO",12.5,13,0.153846153846154,0.307692307692308
"WTFO",13,13.5,0.454545454545455,0
"WTFO",13.5,14,0.25,0
"WTFO",14,14.5,0,0.0909090909090909
"WTFO",14.5,15,0.1,0.2
"WTFO",15,15.5,0.230769230769231,0
"WTFO",15.5,16,0.166666666666667,0
"WTFO",16,16.5,0.181818181818182,0.181818181818182
"WTFO",16.5,17,0.0909090909090909,0
"WTFO",17,17.5,0.3,0.1
"WTFO",17.5,18,0.25,0
"WTFO",18,18.5,0.111111111111111,0
"WTFO",18.5,19,0.375,0
"WTFO",19,19.5,0.333333333333333,0
"WTFO",19.5,20,0,0
"WTFO",20,20.5,0.111111111111111,0
"WTFO",20.5,21,0.125,0
"TEFO",0,0.5,0.112531969309463,0.0861040068201194
"TEFO",0.5,1,0.106603023070804,0.00715990453460621
"TEFO",1,1.5,0.0908366533864542,0.0047808764940239
"TEFO",1.5,2,0.0843373493975904,0.00963855421686747
"TEFO",2,2.5,0.0807660283097419,0.00832639467110741
"TEFO",2.5,3,0.0701606086221471,0.00507185122569738
"TEFO",3,3.5,0.0602620087336245,0.00524017467248908
"TEFO",3.5,4,0.0629496402877698,0.00359712230215827
"TEFO",4,4.5,0.0611677479147359,0.0630213160333642
"TEFO",4.5,5,0.0625592417061611,0.0293838862559242
"TEFO",5,5.5,0.0720461095100865,0.0249759846301633
"TEFO",5.5,6,0.062320230105465,0.000958772770853308
"TEFO",6,6.5,0.0635721493440969,0.00605449041372351
"TEFO",6.5,7,0.061965811965812,0.0341880341880342
"TEFO",7,7.5,0.0625,0.0280172413793103
"TEFO",7.5,8,0.0653889515219842,0.0360766629086809
"TEFO",8,8.5,0.0791962174940898,0.100472813238771
"TEFO",8.5,9,0.101796407185629,0.029940119760479
"TEFO",9,9.5,0.0930817610062893,0.060377358490566
"TEFO",9.5,10,0.135240572171652,0.0325097529258778
"TEFO",10,10.5,0.202185792349727,0.040983606557377
"TEFO",10.5,11,0.264150943396226,0.146589259796807
"TEFO",11,11.5,0.267267267267267,0.241741741741742
"TEFO",11.5,12,0.27831715210356,0.273462783171521
"TEFO",12,12.5,0.292418772563177,0.0703971119133574
"TEFO",12.5,13,0.274285714285714,0.392380952380952
"TEFO",13,13.5,0.24295010845987,0.0889370932754881
"TEFO",13.5,14,0.296758104738155,0.276807980049875
"TEFO",14,14.5,0.274052478134111,0.346938775510204
"TEFO",14.5,15,0.299295774647887,0.235915492957746
"TEFO",15,15.5,0.266949152542373,0.26271186440678
"TEFO",15.5,16,0.294117647058824,0.171122994652406
"TEFO",16,16.5,0.327272727272727,0.133333333333333
"TEFO",16.5,17,0.300699300699301,0.153846153846154
"TEFO",17,17.5,0.292682926829268,0.186991869918699
"TEFO",17.5,18,0.268518518518519,0.148148148148148
"TEFO",18,18.5,0.301075268817204,0.021505376344086
"TEFO",18.5,19,0.333333333333333,0.133333333333333
"TEFO",19,19.5,0.28,0.04
"TEFO",19.5,20,0.274193548387097,0.112903225806452
"TEFO",20,20.5,0.1875,0.0416666666666667
"TEFO",20.5,21,0.28,0.06
"BOFO",0,0.5,0.138349514563107,0.114077669902913
"BOFO",0.5,1,0.155294117647059,0.0258823529411765
"BOFO",1,1.5,0.133651551312649,0.035799522673031
"BOFO",1.5,2,0.132701421800948,0.0402843601895735
"BOFO",2,2.5,0.151219512195122,0.0463414634146341
"BOFO",2.5,3,0.140096618357488,0.0217391304347826
"BOFO",3,3.5,0.118226600985222,0.0221674876847291
"BOFO",3.5,4,0.155555555555556,0.00246913580246914
"BOFO",4,4.5,0.120603015075377,0.00753768844221105
"BOFO",4.5,5,0.144254278728606,0.0244498777506112
"BOFO",5,5.5,0.100719424460432,0.0167865707434053
"BOFO",5.5,6,0.0935960591133005,0.0270935960591133
"BOFO",6,6.5,0.118811881188119,0.0420792079207921
"BOFO",6.5,7,0.127182044887781,0.0897755610972569
"BOFO",7,7.5,0.174807197943445,0.0616966580976864
"BOFO",7.5,8,0.136239782016349,0.160762942779292
"BOFO",8,8.5,0.128571428571429,0.134285714285714
"BOFO",8.5,9,0.147308781869688,0.0538243626062323
"BOFO",9,9.5,0.151419558359621,0.0599369085173502
"BOFO",9.5,10,0.191919191919192,0.121212121212121
"BOFO",10,10.5,0.20377358490566,0.0981132075471698
"BOFO",10.5,11,0.222689075630252,0.26890756302521
"BOFO",11,11.5,0.302325581395349,0.455813953488372
"BOFO",11.5,12,0.237864077669903,0.203883495145631
"BOFO",12,12.5,0.225641025641026,0.0820512820512821
"BOFO",12.5,13,0.245283018867925,0.389937106918239
"BOFO",13,13.5,0.335766423357664,0.153284671532847
"BOFO",13.5,14,0.292035398230089,0.274336283185841
"BOFO",14,14.5,0.372093023255814,0.302325581395349
"BOFO",14.5,15,0.347826086956522,0.173913043478261
"BOFO",15,15.5,0.375,0.107142857142857
"BOFO",15.5,16,0.392156862745098,0.0588235294117647
"BOFO",16,16.5,0.297872340425532,0.127659574468085
"BOFO",16.5,17,0.393939393939394,0.181818181818182
"BOFO",17,17.5,0.208333333333333,0
"BOFO",17.5,18,0.227272727272727,0.0909090909090909
"BOFO",18,18.5,0.444444444444444,0.111111111111111
"BOFO",18.5,19,0.428571428571429,0.142857142857143
"BOFO",19,19.5,0.375,0
"BOFO",19.5,20,0.461538461538462,0
"BOFO",20,20.5,0.384615384615385,0.0769230769230769
"BOFO",20.5,21,0.357142857142857,0
"SAVA",0,0.5,0.260869565217391,0.0869565217391304
"SAVA",0.5,1,0.391304347826087,0
"SAVA",1,1.5,0.380952380952381,0
"SAVA",1.5,2,0.291666666666667,0.0416666666666667
"SAVA",2,2.5,0.142857142857143,0.0952380952380952
"SAVA",2.5,3,0.0909090909090909,0.0454545454545455
"SAVA",3,3.5,0.0588235294117647,0.235294117647059
"SAVA",3.5,4,0.1875,0.3125
"SAVA",4,4.5,0.111111111111111,0.222222222222222
"SAVA",4.5,5,0.0909090909090909,0.0454545454545455
"SAVA",5,5.5,0.0526315789473684,0
"SAVA",5.5,6,0.125,0
"SAVA",6,6.5,0.176470588235294,0.0588235294117647
"SAVA",6.5,7,0.0526315789473684,0
"SAVA",7,7.5,0.117647058823529,0.0588235294117647
"SAVA",7.5,8,0.125,0.25
"SAVA",8,8.5,0.125,0.25
"SAVA",8.5,9,0.142857142857143,0
"SAVA",9,9.5,0.2,0
"SAVA",9.5,10,0.266666666666667,0.333333333333333
"SAVA",10,10.5,0.3125,0
"SAVA",10.5,11,0.411764705882353,0
"SAVA",11,11.5,0.352941176470588,0.529411764705882
"SAVA",11.5,12,0.142857142857143,0.285714285714286
"SAVA",12,12.5,0.357142857142857,0
"SAVA",12.5,13,0.153846153846154,0.384615384615385
"SAVA",13,13.5,0.111111111111111,0.111111111111111
"SAVA",13.5,14,0.222222222222222,0.111111111111111
"SAVA",14,14.5,0.125,0
"SAVA",14.5,15,0.428571428571429,0
"SAVA",15,15.5,0.142857142857143,0
"SAVA",15.5,16,0.2,0
"SAVA",16,16.5,0.4,0
"SAVA",16.5,17,0.142857142857143,0.142857142857143
"SAVA",17,17.5,0,0
"SAVA",17.5,18,0.4,0.2
"SAVA",18,18.5,0.2,0
"SAVA",18.5,19,0,0
"SAVA",19,19.5,0,0
"SAVA",19.5,20,0.25,0.25
"SAVA",20,20.5,0.25,0.25
"SAVA",20.5,21,0,0
"STEP",0,0.5,0.312,0.152
"STEP",0.5,1,0.276595744680851,0.0212765957446809
"STEP",1,1.5,0.338235294117647,0.0147058823529412
"STEP",1.5,2,0.3359375,0.0078125
"STEP",2,2.5,0.323076923076923,0.0307692307692308
"STEP",2.5,3,0.255639097744361,0.037593984962406
"STEP",3,3.5,0.246268656716418,0.0970149253731343
"STEP",3.5,4,0.227272727272727,0.0227272727272727
"STEP",4,4.5,0.270491803278689,0.00819672131147541
"STEP",4.5,5,0.298387096774194,0.0241935483870968
"STEP",5,5.5,0.262295081967213,0
"STEP",5.5,6,0.341880341880342,0.00854700854700855
"STEP",6,6.5,0.281818181818182,0.0181818181818182
"STEP",6.5,7,0.256880733944954,0
"STEP",7,7.5,0.275229357798165,0.0275229357798165
"STEP",7.5,8,0.29126213592233,0.0194174757281553
"STEP",8,8.5,0.320754716981132,0.0943396226415094
"STEP",8.5,9,0.196261682242991,0.0373831775700935
"STEP",9,9.5,0.287128712871287,0.0495049504950495
"STEP",9.5,10,0.279569892473118,0.118279569892473
"STEP",10,10.5,0.298850574712644,0.0114942528735632
"STEP",10.5,11,0.259259259259259,0.037037037037037
"STEP",11,11.5,0.333333333333333,0.111111111111111
"STEP",11.5,12,0.323943661971831,0.183098591549296
"STEP",12,12.5,0.32258064516129,0.0483870967741935
"STEP",12.5,13,0.262295081967213,0.295081967213115
"STEP",13,13.5,0.358490566037736,0.0377358490566038
"STEP",13.5,14,0.195121951219512,0.170731707317073
"STEP",14,14.5,0.194444444444444,0.138888888888889
"STEP",14.5,15,0.230769230769231,0
"STEP",15,15.5,0.291666666666667,0.125
"STEP",15.5,16,0.296296296296296,0.148148148148148
"STEP",16,16.5,0.24,0.08
"STEP",16.5,17,0.111111111111111,0.166666666666667
"STEP",17,17.5,0.3125,0.0625
"STEP",17.5,18,0.4,0.2
"STEP",18,18.5,0.230769230769231,0.0769230769230769
"STEP",18.5,19,0.285714285714286,0.0714285714285714
"STEP",19,19.5,0.5,0
"STEP",19.5,20,0.25,0.0833333333333333
"STEP",20,20.5,0.0714285714285714,0.0714285714285714
"STEP",20.5,21,0,0.1
"DESE",0,0.5,0.411764705882353,0
"DESE",0.5,1,0.368421052631579,0
"DESE",1,1.5,0.294117647058824,0
"DESE",1.5,2,0.333333333333333,0
"DESE",2,2.5,0.157894736842105,0
"DESE",2.5,3,0.35,0
"DESE",3,3.5,0.45,0
"DESE",3.5,4,0.238095238095238,0
"DESE",4,4.5,0.25,0
"DESE",4.5,5,0.166666666666667,0
"DESE",5,5.5,0.25,0.0625
"DESE",5.5,6,0.294117647058824,0
"DESE",6,6.5,0.357142857142857,0
"DESE",6.5,7,0.2,0.0666666666666667
"DESE",7,7.5,0.357142857142857,0
"DESE",7.5,8,0.214285714285714,0.0714285714285714
"DESE",8,8.5,0.375,0
"DESE",8.5,9,0.25,0
"DESE",9,9.5,0.166666666666667,0
"DESE",9.5,10,0,0.181818181818182
"DESE",10,10.5,0.111111111111111,0
"DESE",10.5,11,0.111111111111111,0
"DESE",11,11.5,0,0.166666666666667
"DESE",11.5,12,0.25,0.125
"DESE",12,12.5,0.166666666666667,0.333333333333333
"DESE",12.5,13,0.5,0.5
"DESE",13,13.5,0.6,0
"DESE",13.5,14,0.6,0.2
"DESE",14,14.5,0.4,0.2
"DESE",14.5,15,0.2,0.2
"DESE",15,15.5,0.25,0
"DESE",15.5,16,0.5,0
"DESE",16,16.5,0,0
"DESE",16.5,17,0,0
"DESE",17,17.5,0,0
"DESE",17.5,18,0,0
"DESE",18,18.5,0.666666666666667,0
"DESE",18.5,19,0.5,0
"DESE",19,19.5,0.5,0
"DESE",19.5,20,0.5,0
"DESE",20,20.5,NA,NA
"DESE",20.5,21,NA,NA
"TUND",0,0.5,0.192307692307692,0.144230769230769
"TUND",0.5,1,0.225225225225225,0.0990990990990991
"TUND",1,1.5,0.225490196078431,0.0588235294117647
"TUND",1.5,2,0.310679611650485,0.058252427184466
"TUND",2,2.5,0.300970873786408,0.0388349514563107
"TUND",2.5,3,0.203883495145631,0.0194174757281553
"TUND",3,3.5,0.201834862385321,0.0275229357798165
"TUND",3.5,4,0.19811320754717,0
"TUND",4,4.5,0.22,0.02
"TUND",4.5,5,0.225490196078431,0.0392156862745098
"TUND",5,5.5,0.266666666666667,0.00952380952380952
"TUND",5.5,6,0.240384615384615,0.0480769230769231
"TUND",6,6.5,0.298969072164948,0.0103092783505155
"TUND",6.5,7,0.237623762376238,0.0495049504950495
"TUND",7,7.5,0.288659793814433,0.0412371134020619
"TUND",7.5,8,0.264367816091954,0
"TUND",8,8.5,0.206521739130435,0.141304347826087
"TUND",8.5,9,0.210526315789474,0.0947368421052632
"TUND",9,9.5,0.333333333333333,0.103448275862069
"TUND",9.5,10,0.269230769230769,0.0897435897435897
"TUND",10,10.5,0.292307692307692,0.138461538461538
"TUND",10.5,11,0.277777777777778,0.0925925925925926
"TUND",11,11.5,0.266666666666667,0.355555555555556
"TUND",11.5,12,0.3,0.2
"TUND",12,12.5,0.272727272727273,0.0303030303030303
"TUND",12.5,13,0.25,0.291666666666667
"TUND",13,13.5,0.357142857142857,0.142857142857143
"TUND",13.5,14,0.333333333333333,0.259259259259259
"TUND",14,14.5,0.235294117647059,0.294117647058824
"TUND",14.5,15,0.277777777777778,0
"TUND",15,15.5,0.166666666666667,0.0555555555555556
"TUND",15.5,16,0.266666666666667,0
"TUND",16,16.5,0.25,0
"TUND",16.5,17,0,0
"TUND",17,17.5,0.285714285714286,0.0714285714285714
"TUND",17.5,18,0.2,0
"TUND",18,18.5,0.444444444444444,0.333333333333333
"TUND",18.5,19,0.3,0
"TUND",19,19.5,0.25,0
"TUND",19.5,20,0.166666666666667,0
"TUND",20,20.5,0.272727272727273,0
"TUND",20.5,21,0.111111111111111,0
"NH",0,0.5,0.213615097191589,0.0939261694120632
"NH",0.5,1,0.217613162663672,0.0259136247450081
"NH",1,1.5,0.211826843056427,0.018426831574636
"NH",1.5,2,0.210464327831513,0.021350153892488
"NH",2,2.5,0.182992362735272,0.0287465170397397
"NH",2.5,3,0.180975869316766,0.0186270229127325
"NH",3,3.5,0.177566798523493,0.0399615283498332
"NH",3.5,4,0.163279814028901,0.0274514281224602
"NH",4,4.5,0.167071199793268,0.0345268878846449
"NH",4.5,5,0.15906901459686,0.0283149425155956
"NH",5,5.5,0.153218564299061,0.0220975892931153
"NH",5.5,6,0.176575210782346,0.0151700542953299
"NH",6,6.5,0.190092216562361,0.0207376223687475
"NH",6.5,7,0.1562600206043,0.0462201409407213
"NH",7,7.5,0.196244730220116,0.0332989449478142
"NH",7.5,8,0.172969675689291,0.0815868862090155
"NH",8,8.5,0.193827668412237,0.105223031115608
"NH",8.5,9,0.176907618301814,0.0411946417561445
"NH",9,9.5,0.186916663248616,0.052088994924287
"NH",9.5,10,0.185298658747219,0.110780176559996
"NH",10,10.5,0.227897662472053,0.0605244676604225
"NH",10.5,11,0.23224482372897,0.113479603996979
"NH",11,11.5,0.254443384138127,0.27603975819153
"NH",11.5,12,0.249242558326505,0.210652219946919
"NH",12,12.5,0.272163820004793,0.105443112273418
"NH",12.5,13,0.283039275062066,0.367747574912493
"NH",13,13.5,0.324143778751192,0.119808943617106
"NH",13.5,14,0.302833317613333,0.215129619742737
"NH",14,14.5,0.271058750291759,0.250205245903967
"NH",14.5,15,0.273794471368202,0.126508292162681
"NH",15,15.5,0.259737711449743,0.120460589184987
"NH",15.5,16,0.30783406792514,0.0816811118834517
"NH",16,16.5,0.252192822108213,0.0748048110240045
"NH",16.5,17,0.19518202287711,0.112252852734767
"NH",17,17.5,0.222094395004427,0.0660805787546638
"NH",17.5,18,0.235045452157123,0.0995814049253228
"NH",18,18.5,0.37416028424725,0.079398533621476
"NH",18.5,19,0.332150366628321,0.0738828417015118
"NH",19,19.5,0.332750622494211,0.00868659388668066
"NH",19.5,20,0.308476448588651,0.0538038596993336
"NH",20,20.5,0.199503975856187,0.053704776723437
"NH",20.5,21,0.155838415090293,0.0383807408995925
